chunk,pair_id,role,volume_name,sha256,size_bytes,session_id,downloaded_utc
chunk_03,p051,softer,valid_1253_a_1.nii.gz,1c8eae77e05b847c231fbe9e6cb30d041e2d97d40e8bbaf6ece9adf7f1826b5b,150993504,20260815T180544Z-f80be290,2026-08-15T19:09:49Z
chunk_03,p051,sharper,valid_1253_a_2.nii.gz,1c0b3b547c6bd79fba509248ae8f62cd1744b953cf3280c413194d90c6b77eae,169672013,20260815T180544Z-f80be290,2026-08-15T19:10:09Z
chunk_03,p052,softer,valid_1256_a_1.nii.gz,ac40714c943fb70d5676a826a3a59ab6ffa2247f07000a4717f0e772e859cba2,147542973,20260815T180544Z-f80be290,2026-08-15T19:10:24Z
chunk_03,p052,sharper,valid_1256_a_2.nii.gz,17330fff513c5a7edd7c3a6c9f990ad3f1cf25dd0699cb47fa1c5e384f483251,166867786,20260815T180544Z-f80be290,2026-08-15T19:10:44Z
chunk_03,p053,softer,valid_1259_a_1.nii.gz,64c63eb241efa3c0ed5c163b84d0bf33433898393c3cc477b439c0c8b357be79,190136965,20260815T180544Z-f80be290,2026-08-15T19:11:05Z
chunk_03,p053,sharper,valid_1259_a_2.nii.gz,41170d7d8350e5950528593e45ee21ffe6143196a601c4f035fdf00e3b4eb76a,217773673,20260815T180544Z-f80be290,2026-08-15T19:11:26Z
chunk_03,p054,softer,valid_125_a_1.nii.gz,617d3b586768c57dc1ddccfcf0a70b868b941d11e6f3760a025d33e6eef3d4ef,161928991,20260815T180544Z-f80be290,2026-08-15T19:11:42Z
chunk_03,p054,sharper,valid_125_a_2.nii.gz,21965a8cc959328a315dce7222a07c28203a7acb9021759dfd9d04c94fd3c672,182708369,20260815T180544Z-f80be290,2026-08-15T19:12:02Z
chunk_03,p055,softer,valid_1272_a_1.nii.gz,4c80a6d3d107f9585bbec76744de7996a4a850179a4907da316755d92d7679f4,161761407,20260815T180544Z-f80be290,2026-08-15T19:12:21Z
chunk_03,p055,sharper,valid_1272_a_2.nii.gz,7ddb572d27518e760e68fffd687af697b5a155dfa360c12fddf1d547bbf20bdf,184567258,20260815T180544Z-f80be290,2026-08-15T19:12:42Z
