session_id,chunk,execution,pair_id,role,volume_name,stratum,head_index,head_name,score,score_hex
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,0,Medical material,0.4691220223903656,0x1.e061860000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,1,Arterial wall calcification,0.41372695565223694,0x1.a7a80a0000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,2,Cardiomegaly,0.3648693263530731,0x1.75a04e0000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,3,Pericardial effusion,0.48354053497314453,0x1.ef25400000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,4,Coronary artery wall calcification,0.4249456822872162,0x1.b324f60000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,5,Hiatal hernia,0.46376314759254456,0x1.dae4ba0000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,6,Lymphadenopathy,0.4616968035697937,0x1.d8c70c0000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,7,Emphysema,0.48534461855888367,0x1.f0fe2e0000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,8,Atelectasis,0.46084508299827576,0x1.d7e7c60000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,9,Lung nodule,0.5242500901222229,0x1.0c6a820000000p-1
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,10,Lung opacity,0.4566548466682434,0x1.d39d540000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,11,Pulmonary fibrotic sequela,0.5239911079406738,0x1.0c48900000000p-1
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,12,Pleural effusion,0.35653579235076904,0x1.6d17b80000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,13,Mosaic attenuation pattern,0.4310937225818634,0x1.b970a20000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,14,Peribronchial thickening,0.5302498936653137,0x1.0f7cea0000000p-1
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,15,Consolidation,0.445438951253891,0x1.c821260000000p-2
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,16,Bronchiectasis,0.540353536605835,0x1.14a9380000000p-1
20260815T180544Z-f80be290,chunk_02,p026_softer,p026,softer,valid_1121_a_1.nii.gz,Br40f|Br60f,17,Interlobular septal thickening,0.41262075304985046,0x1.a6860e0000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,0,Medical material,0.486468642950058,0x1.f224d60000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,1,Arterial wall calcification,0.43442216515541077,0x1.bcd92a0000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,2,Cardiomegaly,0.3788761794567108,0x1.83f81e0000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,3,Pericardial effusion,0.5004451274871826,0x1.003a580000000p-1
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,4,Coronary artery wall calcification,0.4477456510066986,0x1.ca7dd60000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,5,Hiatal hernia,0.47152796387672424,0x1.e2d83a0000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,6,Lymphadenopathy,0.47535765171051025,0x1.e6c4280000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,7,Emphysema,0.49714359641075134,0x1.fd13360000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,8,Atelectasis,0.471149742603302,0x1.e275140000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,9,Lung nodule,0.5257061123847961,0x1.0d295a0000000p-1
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,10,Lung opacity,0.4655687212944031,0x1.dcbe0c0000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,11,Pulmonary fibrotic sequela,0.5323702096939087,0x1.1092d40000000p-1
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,12,Pleural effusion,0.3720099925994873,0x1.7cf0300000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,13,Mosaic attenuation pattern,0.4367724359035492,0x1.bf41460000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,14,Peribronchial thickening,0.5426177382469177,0x1.15d1fe0000000p-1
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,15,Consolidation,0.4559834897518158,0x1.d2ed560000000p-2
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,16,Bronchiectasis,0.5482308268547058,0x1.18b1b60000000p-1
20260815T180544Z-f80be290,chunk_02,p026_sharper,p026,sharper,valid_1121_a_2.nii.gz,Br40f|Br60f,17,Interlobular septal thickening,0.42447441816329956,0x1.b2a96c0000000p-2
20260815T180544Z-f80be290,chunk_02,p027_softer,p027,softer,valid_1123_a_1.nii.gz,Br40f|Br60f,0,Medical material,0.5633760690689087,0x1.2072d40000000p-1
20260815T180544Z-f80be290,chunk_02,p027_softer,p027,softer,valid_1123_a_1.nii.gz,Br40f|Br60f,1,Arterial wall calcification,0.5516805052757263,0x1.1a75de0000000p-1
20260815T180544Z-f80be290,chunk_02,p027_softer,p027,softer,valid_1123_a_1.nii.gz,Br40f|Br60f,2,Cardiomegaly,0.5386667251586914,0x1.13cc200000000p-1
20260815T180544Z-f80be290,chunk_02,p027_softer,p027,softer,valid_1123_a_1.nii.gz,Br40f|Br60f,3,Pericardial effusion,0.5928212404251099,0x1.2f86440000000p-1
20260815T180544Z-f80be290,chunk_02,p027_softer,p027,softer,valid_1123_a_1.nii.gz,Br40f|Br60f,4,Coronary artery wall calcification,0.5533618927001953,0x1.1b52400000000p-1
20260815T180544Z-f80be290,chunk_02,p027_softer,p027,softer,valid_1123_a_1.nii.gz,Br40f|Br60f,5,Hiatal hernia,0.5175595283508301,0x1.08fd900000000p-1
20260815T180544Z-f80be290,chunk_02,p027_softer,p027,softer,valid_1123_a_1.nii.gz,Br40f|Br60f,6,Lymphadenopathy,0.5353504419326782,0x1.1219740000000p-1
20260815T180544Z-f80be290,chunk_02,p027_softer,p027,softer,valid_1123_a_1.nii.gz,Br40f|Br60f,7,Emphysema,0.5051591396331787,0x1.02a4380000000p-1
20260815T180544Z-f80be290,chunk_02,p027_softer,p027,softer,valid_1123_a_1.nii.gz,Br40f|Br60f,8,Atelectasis,0.5419811606407166,0x1.157e8e0000000p-1
20260815T180544Z-f80be290,chunk_02,p027_softer,p027,softer,valid_1123_a_1.nii.gz,Br40f|Br60f,9,Lung nodule,0.5047048926353455,0x1.0268ae0000000p-1
20260815T180544Z-f80be290,chunk_02,p027_softer,p027,softer,valid_1123_a_1.nii.gz,Br40f|Br60f,10,Lung opacity,0.5169674754142761,0x1.08aff60000000p-1
20260815T180544Z-f80be290,chunk_02,p027_softer,p027,softer,valid_1123_a_1.nii.gz,Br40f|Br60f,11,Pulmonary fibrotic sequela,0.5218580365180969,0x1.0b30fa0000000p-1
