chunk,pair_id,role,volume_name,sha256,size_bytes,session_id,downloaded_utc
chunk_13,p301,softer,valid_362_b_2.nii.gz,1556f39cf3a15a114e003026274215a5a48f4146fbbebb4eb18f3a8e619cc322,101979955,20260815T231124Z-8e185556,2026-08-16T00:51:05Z
chunk_13,p301,sharper,valid_362_b_1.nii.gz,491771b9e0f0d644debaa3d332577d51676ea0d19e7969a728a3d723e4e920d6,117884964,20260815T231124Z-8e185556,2026-08-16T00:51:07Z
chunk_13,p302,softer,valid_377_a_2.nii.gz,fb58be43c69ae052126d625f8fecc78d143ae3aa43b216dac83658a16669a67c,116209398,20260815T231124Z-8e185556,2026-08-16T00:51:10Z
chunk_13,p302,sharper,valid_377_a_1.nii.gz,106f75e4393ac7e46d37eaf729c3d2b5f361d5d458f6d8bf76940e0ac861efaf,134248799,20260815T231124Z-8e185556,2026-08-16T00:51:14Z
chunk_13,p303,softer,valid_382_b_2.nii.gz,727ac7768de6b2bc5e5472cf0cd601c4fbd0ba9a81bd6cd010c30112153646df,116127726,20260815T231124Z-8e185556,2026-08-16T00:51:18Z
chunk_13,p303,sharper,valid_382_b_1.nii.gz,03c9353c575046b16bd0433acb544697a0bd0aac96bd054e15e8043bc60f6c62,135466456,20260815T231124Z-8e185556,2026-08-16T00:51:21Z
chunk_13,p304,softer,valid_382_c_2.nii.gz,343cba70e5d1e360bf9511871b4251204f5501feeefad2ef8a9b292bf168d690,111392422,20260815T231124Z-8e185556,2026-08-16T00:51:24Z
chunk_13,p304,sharper,valid_382_c_1.nii.gz,6675036a0a62e6ad35e13c93466ba138542c9d94c310ed59979449542dbe964f,128687661,20260815T231124Z-8e185556,2026-08-16T00:51:27Z
chunk_13,p305,softer,valid_397_a_2.nii.gz,245ca6930e68cd4853d9ba33d1f265858880cb9e11942aaa36a815a926285bfd,105323497,20260815T231124Z-8e185556,2026-08-16T00:51:30Z
chunk_13,p305,sharper,valid_397_a_1.nii.gz,efdbd0324a98d370b0dbccbca3e8175f0b6640b60c291ba6cf9a1cea5695cccb,122167050,20260815T231124Z-8e185556,2026-08-16T00:51:33Z
chunk_13,p306,softer,valid_406_a_2.nii.gz,cc17510f86392b1d0586f322a72983eb7011c709377bd54c976584e32de2fc5f,112275690,20260815T231124Z-8e185556,2026-08-16T00:51:38Z
chunk_13,p306,sharper,valid_406_a_1.nii.gz,adfbe916b810b65a0434abba31bad99f1b2a4cb69335a8f92e106c7d0d273670,131666844,20260815T231124Z-8e185556,2026-08-16T00:51:43Z
chunk_13,p307,softer,valid_419_a_2.nii.gz,cf9cae7c4e6bc1b9cc000f154d5b6d969700be5750c9e1f7b727962efd60f25e,121323065,20260815T231124Z-8e185556,2026-08-16T00:51:48Z
chunk_13,p307,sharper,valid_419_a_1.nii.gz,0dec89771fc48d044a2bc80ccef0501ab82dcfa5872a3b0c1765c6a6ff796a97,140048362,20260815T231124Z-8e185556,2026-08-16T00:51:54Z
chunk_13,p308,softer,valid_436_a_2.nii.gz,d08fc81762a48d0dd8d2f08aec96695d95f32a80288debb7a8674dd79f91ad45,119796823,20260815T231124Z-8e185556,2026-08-16T00:51:59Z
chunk_13,p308,sharper,valid_436_a_1.nii.gz,6b2c90f33148d91a4c9dd529b930d5f841073b33c1cd9194c26d3a1794db74b9,139174798,20260815T231124Z-8e185556,2026-08-16T00:52:03Z
chunk_13,p309,softer,valid_457_b_2.nii.gz,4edba1bb2fbe8be21e62078fcd8659f865d4d7009d2fc7fe031c7b08100d2db1,113810324,20260815T231124Z-8e185556,2026-08-16T00:52:06Z
chunk_13,p309,sharper,valid_457_b_1.nii.gz,8fb9fb4a4521990325e6457fd8ec3ba7e558ce0982e7de10af72c55a35a5e698,132108285,20260815T231124Z-8e185556,2026-08-16T00:52:09Z
chunk_13,p310,softer,valid_457_c_2.nii.gz,65cfc19ea7687c108199b524fb8e7d1cc7adba17c1879a71ac71500f97155c90,113551929,20260815T231124Z-8e185556,2026-08-16T00:52:13Z
chunk_13,p310,sharper,valid_457_c_1.nii.gz,5f4052ed384f1bc97093e63be8838b5f6064d9f97c086d94bf091f41e244f19f,129821702,20260815T231124Z-8e185556,2026-08-16T00:52:16Z
chunk_13,p311,softer,valid_457_d_2.nii.gz,0d1aad55f0b3fc2992ed9cde39a60d48d198b9759a3bdc7bfd69ff4f93e1bb3d,100456048,20260815T231124Z-8e185556,2026-08-16T00:52:19Z
chunk_13,p311,sharper,valid_457_d_1.nii.gz,fd95174944a008380e8a653d466c5197fc3ebc4d101010452a12902e9f4f224e,116807994,20260815T231124Z-8e185556,2026-08-16T00:52:23Z
chunk_13,p312,softer,valid_45_a_2.nii.gz,e58192592ebb170a51ccc7ea7cdcba47887f19ecdb888ff3897ca9b4d2e1e638,107070517,20260815T231124Z-8e185556,2026-08-16T00:52:26Z
chunk_13,p312,sharper,valid_45_a_1.nii.gz,9ffd511e34785d2cda65f688b3f310d2b821cb13c023cf84740378e4b024d10f,122971194,20260815T231124Z-8e185556,2026-08-16T00:52:28Z
