timestamp_utc,session_id,context,volume_name,sha256,size_bytes,category
2026-08-15T09:57:01Z,20260815T094338Z-571b8061,anchor,valid_1004_a_1.nii.gz,b058a53eff9f226dbff9725fade98fde412ac56e78a976e404e5c77e8e84f7bd,151159501,qa_retry
2026-08-15T09:57:25Z,20260815T094338Z-571b8061,anchor,valid_1004_a_2.nii.gz,dd581f82142646a4ad616cfc6f6b4a6ce8a058f029d47cff04004f1fc7bc2751,169076848,qa_retry
2026-08-15T18:23:22Z,20260815T180544Z-f80be290,chunk_01,valid_1004_a_1.nii.gz,b058a53eff9f226dbff9725fade98fde412ac56e78a976e404e5c77e8e84f7bd,151159501,scientific_first_time
2026-08-15T18:23:25Z,20260815T180544Z-f80be290,chunk_01,valid_1004_a_2.nii.gz,dd581f82142646a4ad616cfc6f6b4a6ce8a058f029d47cff04004f1fc7bc2751,169076848,scientific_first_time
2026-08-15T18:23:33Z,20260815T180544Z-f80be290,chunk_01,valid_100_a_1.nii.gz,8c15f10eb5f0a40212c55e71cfeb208f807ce791fd3cd555bee0854525c8f7f5,172856568,scientific_first_time
2026-08-15T18:23:50Z,20260815T180544Z-f80be290,chunk_01,valid_100_a_2.nii.gz,8b0a0b89486231716c29b7fd65cd9fc47ddd643f7338d8355c8d71b56f547c06,193535274,scientific_first_time
2026-08-15T18:24:08Z,20260815T180544Z-f80be290,chunk_01,valid_1016_c_1.nii.gz,0822655925702630f38d8a9ed1a97ebcb8d8371a54b427c93dfdff3f79d28320,147454311,scientific_first_time
2026-08-15T18:24:27Z,20260815T180544Z-f80be290,chunk_01,valid_1016_c_2.nii.gz,c4c5f246d659a3ef030d740c3d91fda0ae9e90aeed28b086aa9696a8dbf2422e,166552308,scientific_first_time
2026-08-15T18:24:44Z,20260815T180544Z-f80be290,chunk_01,valid_1016_d_1.nii.gz,932d9eebf16f10b14656b3d1ec33ddab2ae461b8b4e8f5bada3baf9c44b455c1,137270317,scientific_first_time
2026-08-15T18:24:59Z,20260815T180544Z-f80be290,chunk_01,valid_1016_d_2.nii.gz,e1bf2196554873c3b3fdd1c95f51dcde05ada86075a2ceda522887b052d06b14,155749335,scientific_first_time
2026-08-15T18:25:15Z,20260815T180544Z-f80be290,chunk_01,valid_1016_e_1.nii.gz,dbae387da16be4ba7b72a9a3dad38b689434c50b7886eb4ae276d02c2182e8d0,136979026,scientific_first_time
2026-08-15T18:25:32Z,20260815T180544Z-f80be290,chunk_01,valid_1016_e_2.nii.gz,3337b4e73e57d3975998014f36b2e76dd2f2a764750e90bf97a8ef3a0d45e868,154359864,scientific_first_time
2026-08-15T18:25:50Z,20260815T180544Z-f80be290,chunk_01,valid_1016_f_1.nii.gz,f8d086be5d3faf658c0e32d89654a39e091d7077d1a564ac1538bc79ab558838,138839871,scientific_first_time
2026-08-15T18:26:08Z,20260815T180544Z-f80be290,chunk_01,valid_1016_f_2.nii.gz,bb8de315d523ac3ae235b858c30ee45a565e12bb7c9eda9a5ce86eabd71e570b,157764004,scientific_first_time
2026-08-15T18:26:24Z,20260815T180544Z-f80be290,chunk_01,valid_101_b_1.nii.gz,8266feab511c6138c0028122e1ad2eddf1ed935386b56363410864beafb4d91e,149037499,scientific_first_time
2026-08-15T18:26:38Z,20260815T180544Z-f80be290,chunk_01,valid_101_b_2.nii.gz,4a233e76b139b01dbe50c40cf4938889e7b54521d7e8ac2ca9d6f2b86055c3f0,169667960,scientific_first_time
2026-08-15T18:26:55Z,20260815T180544Z-f80be290,chunk_01,valid_1021_a_1.nii.gz,491b92bcf0e9e9bb9f11d1e8d746bb75c1a57994ecb8ed60279b9bd44e4101d2,143338434,scientific_first_time
2026-08-15T18:27:14Z,20260815T180544Z-f80be290,chunk_01,valid_1021_a_2.nii.gz,a01c18daa6bc891b1a67ddb56489b714f85c2c7dc0f8b434bc2d27aa4d6a79b1,163293741,scientific_first_time
2026-08-15T18:27:23Z,20260815T180544Z-f80be290,chunk_01,valid_1025_b_1.nii.gz,1744bf5984bd9618b14bb15db87e0cda3bbe1d8327b3e9988ccb5a08e701e014,173671734,scientific_first_time
